Request ID,Num Clients,Bottleneck Bandwidth,Bottleneck Latency,Bottleneck Packet Loss,Dash Policy,Client Resolution,Request Duration,TCP Output Packet,TCP Output Delay,TCP Output Jitter,TCP Output Packet Loss,TCP Input Packet,TCP Input Delay,TCP Input Jitter,TCP Input Packet Loss,TCP Input Retransmission,Std Input Rate,0 Input Rate Variation,5 Input Rate Variation,10 Input Rate Variation,25 Input Rate Variation,50 Input Rate Variation,75 Input Rate Variation,90 Input Rate Variation,95 Input Rate Variation,100 Input Rate Variation,Std Inter Arrival Times Req,0 Inter Arrival Times Req,5 Inter Arrival Times Req,10 Inter Arrival Times Req,25 Inter Arrival Times Req,50 Inter Arrival Times Req,75 Inter Arrival Times Req,90 Inter Arrival Times Req,95 Inter Arrival Times Req,100 Inter Arrival Times Req,Start Up Delay,Avg Video Download Rate,Std Video Download Rate,Avg Video Buffer Level,Std Video Buffer Level,Stall Events,Rebuffering Ratio,Stall Label,Total Stalling Time,Avg Time Stalling Events,Avg Quality Index,Avg Video Bit Rate,Avg Video Quality Variation,Avg Download Bit Rate
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13471,11.0158,0.000377083,0.011135,23802,12.0758,0.389254,0.0106714,8,299163.0,,8820,8820,543048,806529,926772,1123330,1318478,1396841,1443413,0.841606,0.152073,0.152073,0.739936,1.25804,1.72583,2.21909,2.85011,3.25672,4.20539,585,4182140.0,1507670.0,1.31429,1.42971,3,0.01,MildStalling,700,20.5882,0.842857,3503540.0,1034540.0,4182140.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12975,11.0158,0.000401444,0.0106358,23033,12.0576,0.391275,0.0106803,10,230565.0,,474286,474286,504077,786067,907182,1047827,1177388,1285955,1401197,0.757008,0.150018,0.150018,1.0392,1.1851,1.79068,2.23424,2.68227,2.82093,4.24568,585,3969900.0,1512760.0,2.41176,2.04533,2,0.03,MildStalling,2100,63.6364,0.808824,3275290.0,1000730.0,3969900.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12203,11.0158,0.000406084,0.00844055,21134,12.0778,0.382662,0.0106937,20,274941.0,,1452,1452,362482,686803,815506,955098,1114219,1212836,1264174,0.995762,0.154834,0.154834,0.895829,1.36182,1.75021,2.46843,2.92969,3.22418,5.57146,606,3847910.0,1493620.0,0.882353,0.993055,2,0.02,MildStalling,1400,42.4242,0.779412,3272280.0,1321890.0,3847910.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14326,11.0158,0.000355533,0.00858579,25432,12.2227,0.392049,0.00951557,13,264348.0,,60456,60456,703902,892119,1017334,1162534,1304830,1321736,1560918,0.861669,0.111161,0.111161,1.03158,1.28272,1.58861,2.24071,2.6024,3.20186,4.86762,585,4591660.0,2018750.0,1.88571,1.42971,2,0.01,MildStalling,700,20.5882,0.8,3720050.0,1459200.0,4591660.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14060,11.0158,0.000372582,0.00945946,25011,12.0597,0.389125,0.00963576,8,288356.0,,1560,1560,561007,830544,1056139,1173216,1225904,1259419,1544945,0.632812,0.439783,0.439783,0.71018,1.40068,1.7297,2.08671,2.6383,2.83261,3.12903,950,4229160.0,1213930.0,2.74286,1.79432,0,0.0,NoStalling,0,0.0,0.814286,3534260.0,868894.0,4229160.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13272,11.0158,0.000385705,0.00994575,23702,12.0542,0.390148,0.00991478,6,303142.0,,138874,138874,454872,863023,931267,1134946,1323188,1348390,1593313,0.84804,0.173644,0.173644,0.983996,1.35178,1.63276,1.97175,2.72912,3.24597,5.13734,588,4158270.0,1555720.0,1.88235,1.52941,2,0.0214286,MildStalling,1500,45.4545,0.823529,3454490.0,1112440.0,4158270.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13827,11.0158,0.000368925,0.00889564,24550,12.0856,0.389256,0.0105092,7,275261.0,,288948,288948,478243,812203,1047427,1214806,1285436,1308787,1326211,0.701755,0.15263,0.15263,0.779215,1.46391,1.77359,2.25507,2.72474,2.86395,3.64067,586,4237540.0,1483490.0,1.08571,1.29552,2,0.0142857,MildStalling,1000,29.4118,0.771429,3554740.0,986353.0,4237540.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12992,11.0158,0.000403217,0.00939039,23046,12.0581,0.387821,0.0102838,10,393845.0,,1452,1452,1452,571171,890083,1123530,1266679,1307196,1486330,0.638878,0.46045,0.46045,0.762923,1.37592,1.67615,2.13438,2.76329,2.96906,3.09075,1134,3816070.0,1003890.0,1.77143,1.49448,1,0.00142857,MildStalling,100,2.94118,0.764286,3296110.0,937864.0,3816070.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14013,11.0158,0.000374795,0.0103475,25002,12.0641,0.391459,0.0087593,10,351753.0,,95731,95731,398383,824736,976678,1188271,1406471,1566725,1676025,0.766401,0.395007,0.395007,0.733535,1.2545,1.72341,2.19709,2.63459,3.23197,4.23394,851,4238570.0,1478430.0,2.05714,1.47247,0,0.0,NoStalling,0,0.0,0.785714,3459660.0,989365.0,4238570.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14164,11.0158,0.000367369,0.0094606,25097,12.077,0.388913,0.00984181,39,351233.0,,1560,1560,367356,812602,1012460,1149728,1259552,1306863,1882788,0.737014,0.481916,0.481916,0.642422,1.28477,1.87634,2.17516,2.8059,2.89095,3.70872,931,4400920.0,1573620.0,2.22857,1.70856,1,0.00285714,MildStalling,200,5.88235,0.828571,3676160.0,1290540.0,4400920.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,12903,11.0158,0.000394712,0.0113927,22825,12.0552,0.388942,0.0105148,7,321920.0,,1560,1560,186391,790557,886654,1162535,1239091,1290311,1352875,0.770453,0.161386,0.161386,0.623819,1.34445,1.68215,2.01857,2.78296,2.93956,3.85591,2520,4064740.0,1598720.0,1.17647,1.38204,1,0.00714286,MildStalling,500,15.1515,0.757353,3375740.0,1153240.0,4064740.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,14607,11.0158,0.000349359,0.00883138,25756,12.1041,0.389061,0.00931822,19,289609.0,,521268,521268,597906,815107,1007304,1207546,1301926,1449114,1833358,0.752408,0.124924,0.124924,0.970994,1.26718,1.79168,2.05164,2.72716,3.07158,4.11977,585,4566760.0,1684810.0,0.857143,0.989743,2,0.01,MildStalling,700,20.5882,0.757143,3854630.0,1189650.0,4566760.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13956,11.0158,0.00035679,0.0104615,24324,12.3089,0.389035,0.010319,17,311551.0,,8820,8820,452496,793327,954499,1131101,1328996,1406470,1573513,0.888333,0.112466,0.112466,0.644789,1.11218,1.84346,2.52911,2.78141,3.35319,3.68287,588,4558540.0,2286430.0,1.0,1.11144,1,0.0228571,MildStalling,1600,48.4848,0.779412,3605080.0,1534450.0,4558540.0
81,348300000,11,0.01,RateBasedAdaptationLogic,19201080,70,13918,11.0158,0.000383992,0.00941227,24804,12.0598,0.390244,0.00987744,4,298359.0,,1560,1560,448793,851407,973375,1105507,1319479,1324759,1400144,0.639388,0.82293,0.82293,1.14708,1.33178,1.53715,1.99591,2.74419,2.75937,3.55973,1585,4069710.0,1074220.0,4.8,2.25262,0,0.0,NoStalling,0,0.0,0.828571,3474290.0,868894.0,4069710.0
